nodo,campus,capa,btw_norm,es_articulacion,en_corte,danio_cascada_norm,ICC,rank
INTERNET-MPLS,Nube MPLS,wan,0.8185,1,1,0.9091,0.9183,1
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,0.8199,1,1,0.0909,0.7551,2
CPAR-C10,Campus Paraiso,core,0.9049,1,0,0.0909,0.5849,3
DATCC-2A-C3,Campus Central,core,1.0,0,0,0.8182,0.5136,4
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,0.286,1,0,0.0909,0.3683,5
AGRPRI-1A-D10,Campus Yanuncay,agregacion,0.2718,1,0,0.0909,0.3633,6
CC-ARQUITECTURA-D107,Campus Central,agregacion,0.2714,1,0,0.0909,0.3632,7
BAL-AUL2-D1,Campus Balzay,agregacion,0.2478,1,0,0.0909,0.3549,8
CP-EADMINA1-D6,Campus Paraiso,agregacion,0.1994,1,0,0.0909,0.338,9
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,0.1988,1,0,0.0909,0.3378,10
PE2-CENTRAL,Campus Central,wan,0.6449,0,0,0.5455,0.3348,11
ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,0.2279,0,1,0.2727,0.3343,12
CC-MONJAS-D126,Campus Central,agregacion,0.1748,1,0,0.0909,0.3294,13
FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,0.417,0,0,0.9091,0.3278,14
CP-POSGRADO-D2,Campus Paraiso,agregacion,0.1503,1,0,0.0909,0.3208,15
CB-EADMI-D6,Campus Balzay,agregacion,0.15,1,0,0.0909,0.3207,16
CC-ECONOMIA-D51,Campus Central,agregacion,0.15,1,0,0.0909,0.3207,17
FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,0.3336,0,0,1.0,0.3167,18
BAL-CENTEC-D2,Campus Balzay,agregacion,0.1257,1,0,0.0909,0.3122,19
CC-ADM-D40,Campus Central,agregacion,0.1257,1,0,0.0909,0.3122,20
CP-TECMEDICO-D3,Campus Paraiso,agregacion,0.1256,1,0,0.0909,0.3121,21
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,0.1256,1,0,0.0909,0.3121,22
CC-FILOSOFIA-A-D108,Campus Central,agregacion,0.1253,1,0,0.0909,0.312,23
BAL-AUL1-D4,Campus Balzay,agregacion,0.1009,1,0,0.0909,0.3035,24
HOS-0A-D05,Campus Hospitalidad,agregacion,0.1009,1,0,0.0909,0.3035,25
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,0.1009,1,0,0.0909,0.3035,26
CC-QUIMICA-D109,Campus Central,agregacion,0.1007,1,0,0.0909,0.3034,27
CC-PROMAS-D31,Campus Central,agregacion,0.0757,1,0,0.0909,0.2947,28
CC-AETUC-D30,Campus Central,agregacion,0.0757,1,0,0.0909,0.2947,29
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,0.0757,1,0,0.0909,0.2947,30
TECQUI-0A-A10,Campus Central,acceso,0.0507,1,0,0.0909,0.2859,31
