rank,nodo,campus,funcion_jerarquia,grado,btw_norm,es_articulacion,en_corte,danio_cascada_norm,ICC,metricas_destacadas,consecuencia_estimada
1,INTERNET-MPLS,Nube MPLS,Wan,8,0.8185,1,1,0.9091,0.9183,btw=0.819; ARTICULACIÓN; CORTE MÍNIMO; cascada=0.91,Desconexión directa de 8 enlace(s). Divide la red en componentes aislados (punto de articulación). Interrumpe el flujo máximo entre backbone y distribución. Puede desencadenar cascada afectando ≈91% de la carga máxima observada.
2,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,Wan,3,0.8199,1,1,0.0909,0.7551,btw=0.820; ARTICULACIÓN; CORTE MÍNIMO,Desconexión directa de 3 enlace(s). Divide la red en componentes aislados (punto de articulación). Interrumpe el flujo máximo entre backbone y distribución. Puede desencadenar cascada afectando ≈9% de la carga máxima observada.
3,CPAR-C10,Campus Paraiso,Núcleo (core) — interconexión entre campus,7,0.9049,1,0,0.0909,0.5849,btw=0.905; ARTICULACIÓN,Desconexión directa de 7 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto institucional total: pérdida de conectividad inter-campus.
4,DATCC-2A-C3,Campus Central,Núcleo (core) — interconexión entre campus,17,1.0,0,0,0.8182,0.5136,btw=1.000; cascada=0.82,Desconexión directa de 17 enlace(s). Puede desencadenar cascada afectando ≈82% de la carga máxima observada. Impacto institucional total: pérdida de conectividad inter-campus.
5,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,Wan,3,0.286,1,0,0.0909,0.3683,ARTICULACIÓN,Desconexión directa de 3 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada.
6,AGRPRI-1A-D10,Campus Yanuncay,Agregación — concentrador de accesos de campus,12,0.2718,1,0,0.0909,0.3633,ARTICULACIÓN,Desconexión directa de 12 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto de campus: aísla todos los accesos del edificio o bloque.
7,CC-ARQUITECTURA-D107,Campus Central,Agregación — concentrador de accesos de campus,10,0.2714,1,0,0.0909,0.3632,ARTICULACIÓN,Desconexión directa de 10 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto de campus: aísla todos los accesos del edificio o bloque.
8,BAL-AUL2-D1,Campus Balzay,Agregación — concentrador de accesos de campus,12,0.2478,1,0,0.0909,0.3549,ARTICULACIÓN,Desconexión directa de 12 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto de campus: aísla todos los accesos del edificio o bloque.
9,CP-EADMINA1-D6,Campus Paraiso,Agregación — concentrador de accesos de campus,9,0.1994,1,0,0.0909,0.338,ARTICULACIÓN,Desconexión directa de 9 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto de campus: aísla todos los accesos del edificio o bloque.
10,CP-ODONTOLOGIA-D4,Campus Paraiso,Agregación — concentrador de accesos de campus,6,0.1988,1,0,0.0909,0.3378,ARTICULACIÓN,Desconexión directa de 6 enlace(s). Divide la red en componentes aislados (punto de articulación). Puede desencadenar cascada afectando ≈9% de la carga máxima observada. Impacto de campus: aísla todos los accesos del edificio o bloque.
