fraccion,eficiencia_global,tamanio_cgc,dist_media_cgc
0.0,0.20821,177,5.8304
0.0056,0.19763,176,6.1299
0.0113,0.0909,108,5.5576
0.0169,0.07598,96,5.4103
0.0226,0.06228,85,5.3011
0.0282,0.05171,76,5.3056
0.0339,0.0497,76,5.3056
0.0395,0.0387,67,6.2524
0.0452,0.0337,61,6.1148
0.0508,0.03004,56,5.9091
0.0565,0.02604,49,5.2585
0.0621,0.02503,49,5.2585
0.0678,0.01903,40,5.2769
0.0734,0.01502,33,5.2803
0.0791,0.01438,33,5.2803
0.0847,0.01165,27,5.1282
0.0904,0.00952,21,4.5524
0.096,0.00885,20,4.7632
0.1017,0.00821,20,4.7632
0.1073,0.00776,20,4.7632
0.113,0.00731,20,4.7632
0.1186,0.00644,18,5.0065
0.1243,0.00525,13,4.0769
0.1299,0.00483,13,4.0769
0.1356,0.00447,13,4.0769
