fraccion,eficiencia_global,tamanio_cgc,dist_media_cgc
0.0,0.23295,177,4.9756
0.0056,0.20671,176,5.7303
0.0113,0.09702,108,5.022
0.0169,0.08111,96,4.8553
0.0226,0.06673,85,4.7308
0.0282,0.05492,76,4.7586
0.0339,0.04121,67,6.1556
0.0395,0.0392,67,6.1556
0.0452,0.0371,66,6.3035
0.0508,0.0324,60,6.1469
0.0565,0.03139,60,6.1469
0.0621,0.02477,51,6.1035
0.0678,0.02027,44,5.9937
0.0734,0.01739,39,5.8947
0.0791,0.01438,32,5.2681
0.0847,0.01374,32,5.2681
0.0904,0.01105,26,5.1662
0.096,0.00896,20,4.6789
0.1017,0.00741,12,3.1212
0.1073,0.00677,12,3.1212
0.113,0.00632,12,3.1212
0.1186,0.00541,7,2.381
0.1243,0.00496,7,2.381
0.1299,0.00454,7,2.381
0.1356,0.00418,7,2.381
