rank,nodo_grado,grado,nodo_between,betweenness,nodo_close,closeness,nodo_eigen,eigenvector
1,DATCC-2A-C3,0.0966,DATCC-2A-C3,0.4468,INTERNET-MPLS,0.2759,DATCC-2A-C3,0.5022
2,DATCC-2A-C2,0.0909,CPAR-C10,0.4043,DATCC-2A-C3,0.2683,DATCC-2A-C2,0.4818
3,AGRPRI-1A-D10,0.0682,ROUTER-CAMPUS-HUAYNA-CAPAC,0.3663,PE2-CENTRAL,0.2667,FORTIGATE-1800F-CENTRAL,0.2006
4,BAL-AUL2-D1,0.0682,INTERNET-MPLS,0.3657,FORTIGATE-1800F-CENTRAL,0.2596,CC-ARQUITECTURA-D107,0.1976
5,CC-ARQUITECTURA-D107,0.0568,PE2-CENTRAL,0.2881,PE1-CENTRAL,0.2562,CC-MONJAS-D126,0.1855
6,CP-EADMINA1-D6,0.0511,DT-0A-C13,0.2235,PE1-BALZAY,0.2511,CC-ADM-D40,0.1799
7,CC-MONJAS-D126,0.0455,FORTIGATE-1800F-CENTRAL,0.1863,DATCC-2A-C2,0.2475,CC-ECONOMIA-D51,0.1751
8,DT-0A-C13,0.0455,DATCC-2A-C2,0.1706,ROUTER-CAMPUS-HUAYNA-CAPAC,0.2421,CC-JURISPRUDENCIA-D110,0.1748
9,INTERNET-MPLS,0.0455,FORTIGATE-1800F-BALZAY,0.149,FORTIGATE-1800F-BALZAY,0.2408,CC-FILOSOFIA-A-D108,0.1701
10,BAL-CENTEC-D2,0.0398,PE2-BALZAY,0.146,PE2-BALZAY,0.2385,CC-QUIMICA-D109,0.1701
