nodo,campus,comunidad,com_esperada,discrepante,capa,grado
FILOA-0B-A56,Campus Central,6,0,True,acceso,1
MON-1B-A67,Campus Central,7,0,True,acceso,2
CP-TECMEDICO-D3,Campus Paraiso,13,10,True,agregacion,5
CP-POSGRADO-D2,Campus Paraiso,11,10,True,agregacion,6
CP-ODONTOLOGIA-D4,Campus Paraiso,12,10,True,agregacion,6
POS-2C-A33,Campus Paraiso,11,10,True,acceso,2
POSLAB-0D-A34,Campus Paraiso,11,10,True,acceso,1
POST-1A-A64,Campus Central,6,0,True,acceso,2
POST-1A-A65,Campus Central,6,0,True,acceso,2
POST-2A-A66,Campus Central,6,0,True,acceso,1
FORTIGATE-1800F-CENTRAL,Campus Central,9,0,True,interconexion,5
CCJ-CJURIDICO-D4,Campus Central,9,0,True,agregacion,3
FORTIGATE-1800F-BALZAY,Campus Balzay,9,3,True,interconexion,5
CCJ-1A-A11,Campus Central,9,0,True,acceso,1
CCJ-1A-A10,Campus Central,9,0,True,acceso,1
MON-0A-A104,Campus Central,7,0,True,acceso,1
MON-0A-A103,Campus Central,7,0,True,acceso,1
QUI-0A-A78,Campus Central,8,0,True,acceso,1
QUI-1A-A83,Campus Central,8,0,True,acceso,1
CC-QUIMICA-D109,Campus Central,8,0,True,agregacion,5
QUI-2A-A81,Campus Central,8,0,True,acceso,1
QUI-2A-A82,Campus Central,8,0,True,acceso,2
POS-2C-A133,Campus Paraiso,11,10,True,acceso,1
POS-1B-A32,Campus Paraiso,11,10,True,acceso,1
POS-0A-A31,Campus Paraiso,11,10,True,acceso,1
POS-0A-A131,Campus Paraiso,11,10,True,acceso,1
MON-1C-A105,Campus Central,7,0,True,acceso,1
FILOA-2A-A55,Campus Central,6,0,True,acceso,1
MON-1C-A106,Campus Central,7,0,True,acceso,1
ODO-0B-A152,Campus Paraiso,12,10,True,acceso,1
ODO-0B-A52,Campus Paraiso,12,10,True,acceso,2
ODO-0C-A153,Campus Paraiso,12,10,True,acceso,1
ECOK3-0A-A63,Campus Central,7,0,True,acceso,1
ECOK2-1A-A52,Campus Central,5,0,True,acceso,1
ECOK1-1A-A102,Campus Central,5,0,True,acceso,1
ECOK1-1A-A101,Campus Central,5,0,True,acceso,1
ODO-0C-A154,Campus Paraiso,12,10,True,acceso,1
ODO-0C-A53,Campus Paraiso,12,10,True,acceso,3
ODO-0C-A54,Campus Paraiso,12,10,True,acceso,1
ODO-1A-A151,Campus Paraiso,12,10,True,acceso,1
ODO-1A-A51,Campus Paraiso,12,10,True,acceso,1
PE1-BALZAY,Campus Balzay,9,3,True,wan,4
PE1-CENTRAL,Campus Central,9,0,True,wan,5
PE2-BALZAY,Campus Balzay,9,3,True,wan,5
PE2-CENTRAL,Campus Central,9,0,True,wan,6
CC-MONJAS-D126,Campus Central,7,0,True,agregacion,8
MICRORED-1A-A109,Campus Balzay,4,3,True,acceso,1
AUL2-01A-A24-SUB,Campus Balzay,4,3,True,acceso,1
CC-FILOSOFIA-A-D108,Campus Central,6,0,True,agregacion,5
TECMED-0B-A42,Campus Paraiso,13,10,True,acceso,1
TECMED-1A-A141,Campus Paraiso,13,10,True,acceso,1
TECMED-1A-A41,Campus Paraiso,13,10,True,acceso,2
TECMED-2C-A43,Campus Paraiso,13,10,True,acceso,1
TECMED-3D-A44,Campus Paraiso,13,10,True,acceso,1
ARQ-1E-A92,Campus Central,2,0,True,acceso,1
ARQ-1E-A91,Campus Central,2,0,True,acceso,2
ARQ-1C-A96,Campus Central,2,0,True,acceso,1
ARQ-1C-A86,Campus Central,2,0,True,acceso,1
ARQ-0G-A93-CEPAUC,Campus Central,2,0,True,acceso,1
ARQ-0D-A90,Campus Central,2,0,True,acceso,1
ARQ-0D-A89,Campus Central,2,0,True,acceso,1
ARQ-0D-A88,Campus Central,2,0,True,acceso,2
ARQ-0B-A87,Campus Central,2,0,True,acceso,1
ARQ-0A-A85,Campus Central,2,0,True,acceso,2
ARQ-0A-A84,Campus Central,2,0,True,acceso,1
TECQUI-0A-A10,Campus Central,5,0,True,acceso,3
TECQUI-0A-A11,Campus Central,5,0,True,acceso,1
TECQUI-0A-A12,Campus Central,5,0,True,acceso,1
AUL2-01A-A124-SUBLAB2,Campus Balzay,4,3,True,acceso,1
MON-1B-A68,Campus Central,7,0,True,acceso,1
AUL2-0A-A106,Campus Balzay,4,3,True,acceso,1
CC-ARQUITECTURA-D107,Campus Central,2,0,True,agregacion,10
AUL2-0A-A119,Campus Balzay,4,3,True,acceso,1
AUL2-0A-A120,Campus Balzay,4,3,True,acceso,1
AUL2-0A-A121,Campus Balzay,4,3,True,acceso,1
AUL2-0A-A122,Campus Balzay,4,3,True,acceso,1
AUL2-0A-A123,Campus Balzay,4,3,True,acceso,1
BAL-AUL2-D1,Campus Balzay,4,3,True,agregacion,12
CC-ECONOMIA-D51,Campus Central,5,0,True,agregacion,6
AUL2-0A-A118,Campus Balzay,4,3,True,acceso,1
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,9,10,True,wan,3
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,9,1,True,wan,3
ROUTER-CAMPUS-PARAISO,Campus Paraiso,9,10,True,wan,2
