nodo,campus,louvain,kmeans
AETUC-0A-A76,Campus Central,0,1
AETUC-0A-A97,Campus Central,0,1
AETUCCF-2A-A79,Campus Central,0,1
AGRPRI-1A-A19,Campus Yanuncay,1,2
AGRPRI-1A-D10,Campus Yanuncay,1,2
ANF-0A-A14,Campus Yanuncay,1,2
ARQ-0A-A84,Campus Central,2,7
ARQ-0A-A85,Campus Central,2,7
ARQ-0B-A87,Campus Central,2,7
ARQ-0D-A88,Campus Central,2,7
ARQ-0D-A89,Campus Central,2,7
ARQ-0D-A90,Campus Central,2,7
ARQ-0G-A93-CEPAUC,Campus Central,2,7
ARQ-1C-A86,Campus Central,2,7
ARQ-1C-A96,Campus Central,2,7
ARQ-1E-A91,Campus Central,2,7
ARQ-1E-A92,Campus Central,2,7
ART-0A-A15,Campus Yanuncay,1,2
AUL1-2A-A110,Campus Balzay,3,4
AUL1-2A-A111,Campus Balzay,3,4
AUL1-3A-A104,Campus Balzay,3,4
AUL1-3A-A112,Campus Balzay,3,4
AUL2-01A-A124-SUBLAB2,Campus Balzay,4,4
AUL2-01A-A24-SUB,Campus Balzay,4,4
AUL2-0A-A106,Campus Balzay,4,4
AUL2-0A-A118,Campus Balzay,4,4
AUL2-0A-A119,Campus Balzay,4,4
AUL2-0A-A120,Campus Balzay,4,4
AUL2-0A-A121,Campus Balzay,4,4
AUL2-0A-A122,Campus Balzay,4,4
AUL2-0A-A123,Campus Balzay,4,4
BAL-AUL1-D4,Campus Balzay,3,4
BAL-AUL2-D1,Campus Balzay,4,4
BAL-CENTEC-D2,Campus Balzay,3,4
BAL-EADM-D3,Campus Balzay,3,3
BIB-2A-A16,Campus Yanuncay,1,2
BLOQUED-0A-A21,Campus Yanuncay,1,2
CB-EADMI-D6,Campus Balzay,3,3
CC-ADM-D40,Campus Central,0,1
CC-AETUC-D30,Campus Central,0,1
CC-ARQUITECTURA-D107,Campus Central,2,7
CC-BIBLIOTECA-D112,Campus Central,0,1
CC-BLOQUE-IQ,Campus Central,0,1
CC-ECONOMIA-D51,Campus Central,5,9
CC-FILOSOFIA-A-D108,Campus Central,6,12
CC-FILOSOFIA-B-D111,Campus Central,0,1
CC-JURISPRUDENCIA-D110,Campus Central,0,1
CC-MONJAS-D126,Campus Central,7,1
CC-PROMAS-D31,Campus Central,0,1
CC-PSICOLOGIA-D125,Campus Central,0,1
CC-QUIMICA-D109,Campus Central,8,1
CCADM-2A-A43,Campus Central,0,1
CCADM-2A-A44,Campus Central,0,1
CCADM-2A-A45,Campus Central,0,1
