rank,nodo_saltos,close_saltos,capa_saltos,nodo_latencia,close_latencia,capa_latencia,nodo_carga,close_carga,capa_carga
1,DATCC-2A-C3,0.3725,core,DATCC-2A-C3,1.1138,core,FORTIGATE-1800F-CENTRAL,103788.8779,interconexion
2,DATCC-2A-C2,0.3578,core,DATCC-2A-C2,1.0429,core,DATCC-2A-C3,102084.1112,core
3,INTERNET-MPLS,0.3145,wan,PE2-CENTRAL,0.9986,wan,DATCC-2A-C2,99527.2877,core
4,PE2-CENTRAL,0.3123,wan,INTERNET-MPLS,0.9363,wan,PE2-CENTRAL,99243.2021,wan
5,FORTIGATE-1800F-CENTRAL,0.3079,interconexion,PE1-CENTRAL,0.8972,wan,INTERNET-MPLS,95928.8067,wan
6,CC-ARQUITECTURA-D107,0.2935,agregacion,FORTIGATE-1800F-CENTRAL,0.897,interconexion,PE1-CENTRAL,92140.927,wan
7,DT-0A-C13,0.2901,core,PE1-BALZAY,0.8774,wan,FORTIGATE-1800F-BALZAY,88826.9762,interconexion
8,PE1-CENTRAL,0.2886,wan,PE2-BALZAY,0.8679,wan,PE1-BALZAY,84565.3895,wan
9,CC-MONJAS-D126,0.2831,agregacion,DT-0A-C13,0.8334,core,PE2-BALZAY,84281.2956,wan
10,FORTIGATE-1800F-BALZAY,0.2809,interconexion,ROUTER-CAMPUS-HUAYNA-CAPAC,0.8233,wan,DT-0A-C13,75758.5653,core
