origen,destino,d_dijkstra,d_fw,coincide
SW-ARUBA-CENTRO-HISTORICO,AUL2-0A-A121,5.0,5.0,True
ARQ-0A-A84,CTBLOQ1-0A-A101,8.0,8.0,True
CP-EADMINA1-D6,CCJ-CJURIDICO-D4,4.0,4.0,True
BIB-2A-A16,AUL2-0A-A119,7.0,7.0,True
TECQUI-0A-A11,POS-0A-A31,9.0,9.0,True
AUL2-01A-A124-SUBLAB2,QUI-0A-A78,7.0,7.0,True
LAB-1A-A18,ARQ-0B-A87,7.0,7.0,True
ARQ-0A-A85,AUL2-01A-A24-SUB,7.0,7.0,True
CCJ-1A-A10,CEN-1A-A20,5.0,5.0,True
ODO-0C-A154,QUI-2A-A82,8.0,8.0,True
ARQ-0A-A84,POSLAB-0D-A34,9.0,9.0,True
CC-QUIMICA-D109,TEAT-0A-A75,3.0,3.0,True
POS-0A-A31,JUR-1A-A62,8.0,8.0,True
CCJ-1A-A11,MEDADM-1B-A12,6.0,6.0,True
PSIC-2B-A54,CTBLOQ2-0A-A102,7.0,7.0,True
AETUC-0A-A97,CC-ARQUITECTURA-D107,3.0,3.0,True
LAB-1A-A18,ENF-3A-A21,7.0,7.0,True
CTBLOQ2-0A-A102,CC-AETUC-D30,6.0,6.0,True
CCJ-1A-A10,ENF-2B-A22,6.0,6.0,True
AUL2-0A-A119,AUL2-01A-A24-SUB,2.0,2.0,True
