nodo,deg_c,btw_c,clo_c,eig_c,es_mediana1,es_centro1,rank_deg,rank_btw,rank_clo,rank_eig
INTERNET-MPLS,0.0455,0.3657,0.2759,0.0581,True,True,8,4,1,21
DATCC-2A-C3,0.0966,0.4468,0.2683,0.5022,False,False,1,1,2,1
PE2-CENTRAL,0.0341,0.2881,0.2667,0.1449,False,False,17,5,3,17
FORTIGATE-1800F-CENTRAL,0.0284,0.1863,0.2596,0.2006,False,False,25,7,4,3
PE1-CENTRAL,0.0284,0.0675,0.2562,0.0745,False,False,25,20,5,20
PE1-BALZAY,0.0227,0.0056,0.2511,0.0476,False,False,33,61,6,23
DATCC-2A-C2,0.0909,0.1706,0.2475,0.4818,False,False,2,8,7,2
ROUTER-CAMPUS-HUAYNA-CAPAC,0.017,0.3663,0.2421,0.0137,False,False,39,3,8,74
FORTIGATE-1800F-BALZAY,0.0284,0.149,0.2408,0.0535,False,False,25,9,9,22
PE2-BALZAY,0.0284,0.146,0.2385,0.0414,False,False,25,10,10,24
ROUTER-CAMPUS-PARAISO,0.0114,0.1018,0.235,0.0253,False,False,53,15,11,69
DT-0A-C13,0.0455,0.2235,0.228,0.0258,False,False,8,6,12,68
ROUTER-CAMPUS-YANUNCAY,0.017,0.1278,0.2242,0.0219,False,False,39,11,13,70
SW-ARUBA-CENTRO-HISTORICO,0.0114,0.0097,0.2214,0.0825,False,False,53,59,14,18
HOS-0A-D05,0.0284,0.0451,0.2186,0.0103,False,False,25,30,15,76
CC-ARQUITECTURA-D107,0.0568,0.1212,0.2184,0.1976,False,False,5,13,16,4
CCJ-CJURIDICO-D4,0.017,0.0227,0.2176,0.0098,False,False,39,38,17,77
CC-MONJAS-D126,0.0455,0.0781,0.2162,0.1855,False,False,8,19,18,5
CC-ECONOMIA-D51,0.0341,0.067,0.2157,0.1751,False,False,17,22,19,7
CC-ADM-D40,0.0398,0.0562,0.2152,0.1799,False,False,11,24,20,6
CC-FILOSOFIA-A-D108,0.0284,0.056,0.2152,0.1701,False,False,25,28,20,9
CPAR-C10,0.0398,0.4043,0.2146,0.0027,False,False,11,2,23,93
CC-JURISPRUDENCIA-D110,0.0341,0.0451,0.2146,0.1748,False,False,17,30,23,8
CC-QUIMICA-D109,0.0284,0.045,0.2146,0.1701,False,False,25,32,23,9
CC-PROMAS-D31,0.0227,0.0338,0.2141,0.1655,False,False,33,34,25,11
CC-AETUC-D30,0.0227,0.0338,0.2141,0.1655,False,False,33,34,25,11
CC-BIBLIOTECA-D112,0.0227,0.0227,0.2136,0.1654,False,False,33,38,28,14
CC-FILOSOFIA-B-D111,0.0227,0.0227,0.2136,0.1654,False,False,33,38,28,14
CC-PSICOLOGIA-D125,0.0227,0.0227,0.2136,0.1654,False,False,33,38,28,14
CC-BLOQUE-IQ,0.0114,0.0,0.2126,0.157,False,False,53,120,30,16
DT-0A-C12,0.0398,0.0833,0.2098,0.0201,False,False,11,18,31,71
SW-ARUBA-MUSEO,0.0114,0.0072,0.2071,0.0792,False,False,53,60,32,19
ROUTER-L2TP-BALZAY,0.0227,0.0142,0.2025,0.0121,False,False,33,44,33,75
ROUTER-CAMPUS-CENTRO-HISTORICO,0.0114,0.0044,0.1956,0.0151,False,False,53,62,34,72
ROUTER-CAMPUS-MUSEO,0.0114,0.0044,0.1951,0.0146,False,False,53,62,35,73
BAL-AUL2-D1,0.0682,0.1107,0.1901,0.0098,False,False,3,14,36,77
CB-EADMI-D6,0.0341,0.067,0.1884,0.0082,False,False,17,22,37,80
BAL-CENTEC-D2,0.0398,0.0562,0.188,0.0084,False,False,11,24,38,79
BAL-AUL1-D4,0.0341,0.0451,0.1876,0.0082,False,False,17,30,39,80
AGRPRI-1A-D10,0.0682,0.1214,0.1876,0.0049,False,False,3,12,39,85
CP-ODONTOLOGIA-D4,0.0341,0.0888,0.1798,0.0005,False,False,17,17,43,137
ARQ-0A-A85,0.0114,0.0114,0.1798,0.0324,False,False,53,51,43,26
CP-EADMINA1-D6,0.0511,0.0891,0.1798,0.0005,False,False,6,16,43,137
ARQ-1E-A91,0.0114,0.0114,0.1798,0.0324,False,False,53,51,43,26
ARQ-0D-A88,0.0114,0.0114,0.1798,0.0324,False,False,53,51,43,26
HOS-0A-A13,0.0057,0.0,0.1796,0.0016,False,False,121,120,47,101
HOS-0A-A10,0.0057,0.0,0.1796,0.0016,False,False,121,120,47,101
HOS-2A-A11,0.0057,0.0,0.1796,0.0016,False,False,121,120,47,101
HOS-1A-A12,0.0057,0.0,0.1796,0.0016,False,False,121,120,47,101
ARQ-0D-A90,0.0057,0.0,0.1794,0.0315,False,False,121,120,52,30
ARQ-1C-A96,0.0057,0.0,0.1794,0.0315,False,False,121,120,52,30
ARQ-0B-A87,0.0057,0.0,0.1794,0.0315,False,False,121,120,52,30
ARQ-0G-A93-CEPAUC,0.0057,0.0,0.1794,0.0315,False,False,121,120,52,30
ARQ-1C-A86,0.0057,0.0,0.1794,0.0315,False,False,121,120,52,30
CP-POSGRADO-D2,0.0341,0.0671,0.179,0.0005,False,False,17,21,55,137
CCJ-1A-A11,0.0057,0.0,0.1789,0.0016,False,False,121,120,56,101
CCJ-1A-A10,0.0057,0.0,0.1789,0.0016,False,False,121,120,56,101
CP-INVESTIGACION-D5,0.0284,0.0561,0.1787,0.0005,False,False,25,26,58,137
CP-TECMEDICO-D3,0.0284,0.0561,0.1787,0.0005,False,False,25,26,58,137
TECQUI-0A-A10,0.017,0.0227,0.1783,0.0294,False,False,39,38,60,39
MON-1B-A67,0.0114,0.0114,0.1783,0.0304,False,False,53,51,60,33
MON-1C-A105,0.0057,0.0,0.178,0.0296,False,False,121,120,65,36
ECOK3-0A-A63,0.0057,0.0,0.178,0.0296,False,False,121,120,65,36
MON-1C-A106,0.0057,0.0,0.178,0.0296,False,False,121,120,65,36
CP-ENFERMERIA-D1,0.017,0.0338,0.178,0.0004,False,False,39,34,65,140
MON-0A-A104,0.0057,0.0,0.178,0.0296,False,False,121,120,65,36
POST-1A-A64,0.0114,0.0226,0.178,0.0279,False,False,53,42,65,49
MON-0A-A103,0.0057,0.0,0.178,0.0296,False,False,121,120,65,36
ECOK2-1A-A52,0.0057,0.0,0.1776,0.0279,False,False,121,120,70,49
ECOK1-1A-A102,0.0057,0.0,0.1776,0.0279,False,False,121,120,70,49
ECOK1-1A-A101,0.0057,0.0,0.1776,0.0279,False,False,121,120,70,49
QUI-2A-A82,0.0114,0.0114,0.1772,0.0279,False,False,53,51,75,49
TEAT-0A-A75,0.0057,0.0,0.1772,0.0287,False,False,121,120,75,42
CCADM-2A-A45,0.0057,0.0,0.1772,0.0287,False,False,121,120,75,42
CCADM-2A-A43,0.0057,0.0,0.1772,0.0287,False,False,121,120,75,42
CMED-0A-A42,0.0057,0.0,0.1772,0.0287,False,False,121,120,75,42
FILOA-2A-A55,0.0057,0.0,0.1772,0.0271,False,False,121,120,75,56
FILOA-0B-A56,0.0057,0.0,0.1772,0.0271,False,False,121,120,75,56
CCADM-2A-A44,0.0057,0.0,0.1772,0.0287,False,False,121,120,75,42
PRO-1A-A73,0.0114,0.0114,0.1769,0.0271,False,False,53,51,83,56
JUR-1A-A61,0.0057,0.0,0.1769,0.0279,False,False,121,120,83,49
JUR-0A-A60,0.0057,0.0,0.1769,0.0279,False,False,121,120,83,49
