fraccion_eliminada,eficiencia,n_componentes,tamanio_cgc,estrategia
0.0,0.20821202245507564,1,177,aleatorio
0.05,0.1888965573817221,8,168,aleatorio
0.1,0.17551875698062055,15,162,aleatorio
0.15,0.15053571521214287,23,148,aleatorio
0.2,0.1346175545905969,31,140,aleatorio
0.25,0.10867033244248475,40,124,aleatorio
0.3,0.07338375685833348,49,88,aleatorio
0.35,0.061648109423533576,58,82,aleatorio
0.4,0.051164413505515496,67,73,aleatorio
0.45,0.046062014691637315,75,73,aleatorio
0.5,0.03691999698355636,81,64,aleatorio
0.55,0.027190768663226336,90,52,aleatorio
0.6,0.01947088928021126,98,41,aleatorio
0.65,0.014456243871690663,106,34,aleatorio
0.7,0.009009587399417903,116,20,aleatorio
0.75,0.0063131313131313165,125,15,aleatorio
0.8,0.00398583290532443,136,8,aleatorio
0.85,0.0025466529703817844,145,5,aleatorio
0.9,0.0017120356103406949,156,5,aleatorio
0.95,0.0007383153569594247,166,3,aleatorio
1.0,0.0,177,1,aleatorio
0.0,0.20821202245507564,1,177,betweenness_arista
0.05,0.1309910291372132,5,121,betweenness_arista
0.1,0.09838523450811461,9,105,betweenness_arista
0.15,0.09419242872632544,14,105,betweenness_arista
0.2,0.05942949470491794,20,73,betweenness_arista
0.25,0.04150990840609473,26,55,betweenness_arista
0.3,0.03616346577151667,36,51,betweenness_arista
0.35,0.020377045271113104,44,23,betweenness_arista
0.4,0.015943331621297706,53,12,betweenness_arista
0.45,0.014209895565827758,64,12,betweenness_arista
0.5,0.01289376819037835,74,12,betweenness_arista
0.55,0.010967728128745066,84,12,betweenness_arista
0.6,0.009651600753295658,95,12,betweenness_arista
0.65,0.008153569594247565,105,9,betweenness_arista
0.7,0.006783941105975008,116,9,betweenness_arista
0.75,0.0051896079438452335,126,7,betweenness_arista
0.8,0.00406608457455915,137,7,betweenness_arista
0.85,0.0030388632083547334,147,7,betweenness_arista
0.9,0.0023005478513953097,158,7,betweenness_arista
0.95,0.0011395737031330252,167,7,betweenness_arista
1.0,0.0,177,1,betweenness_arista
0.0,0.20821202245507564,1,177,puentes_primero
0.05,0.1173735947041036,11,115,puentes_primero
0.1,0.0892667596057433,21,96,puentes_primero
0.15,0.0807576369017048,32,91,puentes_primero
0.2,0.07867109350160185,42,91,puentes_primero
0.25,0.06777841979113067,53,83,puentes_primero
0.3,0.05639338298236519,63,73,puentes_primero
0.35,0.04559150830337269,74,62,puentes_primero
0.4,0.035142740969012584,84,52,puentes_primero
0.45,0.02537129772299292,95,41,puentes_primero
0.5,0.02082905324430755,105,36,puentes_primero
0.55,0.01960922787193975,115,36,puentes_primero
0.6,0.018485704502653588,126,36,puentes_primero
0.65,0.017715288478000243,136,36,puentes_primero
0.7,0.01692775209724351,142,36,puentes_primero
0.75,0.01576784797123769,142,36,puentes_primero
0.8,0.012060373712916043,146,32,puentes_primero
0.85,0.00758217770929636,151,25,puentes_primero
0.9,0.0030089025851737705,157,10,puentes_primero
0.95,0.0011449238144153398,166,6,puentes_primero
1.0,0.0,177,1,puentes_primero
