fraccion_eliminada,eficiencia,n_componentes,tamanio_cgc,estrategia
0.0,0.20821202245507564,1.0,177.0,aleatorio
0.05,0.1845054421018053,7.09,155.13,aleatorio
0.1,0.1629411277772742,13.52,135.33,aleatorio
0.15,0.14332490453623276,18.87,116.65,aleatorio
0.2,0.12338074445671282,24.63,98.32,aleatorio
0.25,0.10655072914351849,29.19,81.79,aleatorio
0.3,0.09167147116950414,32.57,67.89,aleatorio
0.35,0.08131708102408998,35.12,58.09,aleatorio
0.4,0.06800246291160612,37.76,46.03,aleatorio
0.45,0.05845925926937932,39.54,36.54,aleatorio
0.5,0.04808689459161876,40.71,27.42,aleatorio
0.55,0.04043818690978496,40.83,20.55,aleatorio
0.6,0.03571021525981283,39.82,16.28,aleatorio
0.65,0.031456498199491326,37.78,12.76,aleatorio
0.7,0.02655977338524508,35.62,9.45,aleatorio
0.75,0.022257178932178934,32.43,6.78,aleatorio
0.8,0.018939417989417992,28.01,4.69,aleatorio
0.85,0.01578205128205128,22.78,3.29,aleatorio
0.9,0.014466230936819173,16.2,2.34,aleatorio
0.95,0.015462962962962963,8.52,1.45,aleatorio
1.0,0.0,0.0,0.0,aleatorio
0.0,0.20821202245507564,1.0,177.0,grado_desc
0.05,0.050000299862936956,55.0,75.0,grado_desc
0.1,0.010560796645702322,86.0,9.0,grado_desc
0.15,0.005364238410596025,105.0,5.0,grado_desc
0.2,0.0035211267605633804,113.0,5.0,grado_desc
0.25,0.0019366598313966736,117.0,3.0,grado_desc
0.3,0.0011146079202727511,116.0,3.0,grado_desc
0.35,0.00014992503748125936,115.0,2.0,grado_desc
0.4,0.0,107.0,1.0,grado_desc
0.45,0.0,98.0,1.0,grado_desc
0.5,0.0,89.0,1.0,grado_desc
0.55,0.0,80.0,1.0,grado_desc
0.6,0.0,71.0,1.0,grado_desc
0.65,0.0,62.0,1.0,grado_desc
0.7,0.0,54.0,1.0,grado_desc
0.75,0.0,45.0,1.0,grado_desc
0.8,0.0,36.0,1.0,grado_desc
0.85,0.0,27.0,1.0,grado_desc
0.9,0.0,18.0,1.0,grado_desc
0.95,0.0,9.0,1.0,grado_desc
1.0,0.0,0.0,0.0,grado_desc
0.0,0.20821202245507564,1.0,177.0,betweenness
0.05,0.039898926368706865,23.0,52.0,betweenness
0.1,0.018051811919736396,63.0,24.0,betweenness
0.15,0.007954378219278887,91.0,6.0,betweenness
0.2,0.00383744547664236,110.0,5.0,betweenness
0.25,0.001822738664843928,117.0,2.0,betweenness
0.3,0.0009179124049305009,117.0,2.0,betweenness
0.35,0.0,116.0,1.0,betweenness
0.4,0.0,107.0,1.0,betweenness
0.45,0.0,98.0,1.0,betweenness
0.5,0.0,89.0,1.0,betweenness
0.55,0.0,80.0,1.0,betweenness
0.6,0.0,71.0,1.0,betweenness
0.65,0.0,62.0,1.0,betweenness
0.7,0.0,54.0,1.0,betweenness
0.75,0.0,45.0,1.0,betweenness
