estrategia,fraccion_inm,R_final,R_final_std,fraccion_afectada,fraccion_afectada_std
aleatorio,0.0,136.23,18.17,0.7696798493408662,0.10264966484201148
aleatorio,0.05,128.0,13.94,0.7231638418079096,0.07874552409761447
aleatorio,0.1,104.93,26.39,0.5928436911487759,0.14907785990044636
aleatorio,0.15,87.33,18.25,0.4934086629001883,0.10309078971741602
aleatorio,0.2,77.5,16.88,0.4378531073446328,0.09536426392861923
aleatorio,0.3,50.2,20.24,0.28361581920903955,0.11432735379721622
grado,0.0,139.23,19.8,0.7866290018832391,0.11184617528517629
grado,0.05,87.13,11.82,0.4922787193973635,0.06678041515810076
grado,0.1,33.9,7.69,0.19152542372881354,0.04345388202404672
grado,0.15,17.97,5.31,0.1015065913370998,0.029983746304796745
grado,0.2,4.93,1.95,0.027871939736346517,0.011006884516913338
grado,0.3,2.63,0.71,0.01487758945386064,0.003990512259965553
betweenness,0.0,139.23,19.8,0.7866290018832391,0.11184617528517629
betweenness,0.05,73.37,23.12,0.41450094161958567,0.1306334205407251
betweenness,0.1,54.1,15.95,0.3056497175141243,0.09012848989205974
betweenness,0.15,31.03,8.02,0.1753295668549906,0.045303157040330354
betweenness,0.2,11.87,3.87,0.06704331450094163,0.021868291325039226
betweenness,0.3,3.4,0.95,0.019209039548022597,0.005379607102480489
vecino,0.0,134.9,15.45,0.7621468926553673,0.08726146753440851
vecino,0.05,101.5,19.09,0.5734463276836158,0.10784648275614687
vecino,0.1,71.23,18.69,0.4024482109227872,0.10560271000045302
vecino,0.15,52.63,9.24,0.29736346516007534,0.052179320670149514
vecino,0.2,33.87,12.86,0.1913370998116761,0.07264129771154289
vecino,0.3,14.07,6.38,0.07947269303201507,0.03605603900195652
