t,S,I,R,caso,beta,tipo
0,176.0,1.0,0.0,sub_critico,0.0931,media
1,174.43333333333334,2.466666666666667,0.1,sub_critico,0.0931,media
2,172.33333333333334,4.4,0.26666666666666666,sub_critico,0.0931,media
3,169.66666666666666,6.566666666666666,0.7666666666666667,sub_critico,0.0931,media
4,167.2,8.466666666666667,1.3333333333333333,sub_critico,0.0931,media
5,164.33333333333334,10.466666666666667,2.2,sub_critico,0.0931,media
6,161.8,12.266666666666667,2.933333333333333,sub_critico,0.0931,media
7,158.83333333333334,14.233333333333333,3.933333333333333,sub_critico,0.0931,media
8,156.03333333333333,15.766666666666667,5.2,sub_critico,0.0931,media
9,154.16666666666666,15.7,7.133333333333334,sub_critico,0.0931,media
10,151.96666666666667,16.933333333333334,8.1,sub_critico,0.0931,media
11,149.86666666666667,17.566666666666666,9.566666666666666,sub_critico,0.0931,media
12,147.8,17.8,11.4,sub_critico,0.0931,media
13,145.8,18.133333333333333,13.066666666666666,sub_critico,0.0931,media
14,143.9,18.233333333333334,14.866666666666667,sub_critico,0.0931,media
15,142.5,17.366666666666667,17.133333333333333,sub_critico,0.0931,media
16,140.73333333333332,17.533333333333335,18.733333333333334,sub_critico,0.0931,media
17,139.43333333333334,17.433333333333334,20.133333333333333,sub_critico,0.0931,media
18,138.13333333333333,17.133333333333333,21.733333333333334,sub_critico,0.0931,media
19,136.63333333333333,16.566666666666666,23.8,sub_critico,0.0931,media
20,135.53333333333333,15.9,25.566666666666666,sub_critico,0.0931,media
21,134.3,15.533333333333333,27.166666666666668,sub_critico,0.0931,media
22,133.13333333333333,14.866666666666667,29.0,sub_critico,0.0931,media
23,132.4,14.033333333333333,30.566666666666666,sub_critico,0.0931,media
24,131.43333333333334,13.933333333333334,31.633333333333333,sub_critico,0.0931,media
25,130.66666666666666,13.2,33.13333333333333,sub_critico,0.0931,media
26,130.1,12.633333333333333,34.266666666666666,sub_critico,0.0931,media
27,129.46666666666667,12.1,35.43333333333333,sub_critico,0.0931,media
28,128.86666666666667,11.3,36.833333333333336,sub_critico,0.0931,media
29,128.36666666666667,10.666666666666666,37.96666666666667,sub_critico,0.0931,media
30,128.16666666666666,9.966666666666667,38.86666666666667,sub_critico,0.0931,media
31,127.86666666666666,9.3,39.833333333333336,sub_critico,0.0931,media
32,127.3,9.066666666666666,40.63333333333333,sub_critico,0.0931,media
33,127.03333333333333,8.133333333333333,41.833333333333336,sub_critico,0.0931,media
34,126.53333333333333,7.8,42.666666666666664,sub_critico,0.0931,media
35,126.4,7.333333333333333,43.266666666666666,sub_critico,0.0931,media
36,126.16666666666667,6.9,43.93333333333333,sub_critico,0.0931,media
37,125.9,6.3,44.8,sub_critico,0.0931,media
38,125.66666666666667,6.0,45.333333333333336,sub_critico,0.0931,media
39,125.3,5.766666666666667,45.93333333333333,sub_critico,0.0931,media
40,125.1,5.666666666666667,46.233333333333334,sub_critico,0.0931,media
41,125.03333333333333,5.166666666666667,46.8,sub_critico,0.0931,media
42,124.86666666666666,4.633333333333334,47.5,sub_critico,0.0931,media
43,124.7,4.266666666666667,48.03333333333333,sub_critico,0.0931,media
44,124.56666666666666,4.033333333333333,48.4,sub_critico,0.0931,media
45,124.46666666666667,3.8666666666666667,48.666666666666664,sub_critico,0.0931,media
46,124.33333333333333,3.7666666666666666,48.9,sub_critico,0.0931,media
47,124.13333333333334,3.533333333333333,49.333333333333336,sub_critico,0.0931,media
48,124.06666666666666,3.1,49.833333333333336,sub_critico,0.0931,media
49,123.9,2.933333333333333,50.166666666666664,sub_critico,0.0931,media
50,123.8,2.8,50.4,sub_critico,0.0931,media
0,0.0,0.0,0.0,sub_critico,0.0931,std
1,1.2297244497131148,1.284090685617215,0.29999999999999993,sub_critico,0.0931,std
2,2.3285665595430634,2.4440403706431146,0.5120763831912403,sub_critico,0.0931,std
3,3.515047020390419,3.499365021765457,0.7608474807008884,sub_critico,0.0931,std
4,4.908496035786656,4.667142832849904,1.0110500592068734,sub_critico,0.0931,std
5,5.83285712341921,5.2072598893809365,1.3515423288475528,sub_critico,0.0931,std
6,6.615134163416491,5.744175794276805,1.9652537297311565,sub_critico,0.0931,std
7,7.598610984179206,6.601430821336301,2.14372469210847,sub_critico,0.0931,std
8,8.236031946406122,6.681732975475416,2.6882460204874605,sub_critico,0.0931,std
9,8.839620404117413,6.7928884381633505,3.6581719782183866,sub_critico,0.0931,std
10,9.819990948174148,7.5274313163404045,3.806573262134856,sub_critico,0.0931,std
11,10.601048166206123,8.093962084308416,4.31804997140556,sub_critico,0.0931,std
12,11.376584138776748,8.243785538209979,4.841487374764082,sub_critico,0.0931,std
13,12.139192724394816,8.301539348551904,5.353711070110361,sub_critico,0.0931,std
14,12.663201280350345,8.155502573246006,6.053832578531462,sub_critico,0.0931,std
15,13.30100246848585,7.467633865928052,7.008249107698409,sub_critico,0.0931,std
16,14.054497105513553,7.710310557227179,7.584780081774876,sub_critico,0.0931,std
17,14.718884317622567,7.948514885743682,7.994720480139098,sub_critico,0.0931,std
18,15.611391851963601,8.081803979035593,8.86165271768697,sub_critico,0.0931,std
19,16.320709407239487,7.919104887689151,9.792514147721889,sub_critico,0.0931,std
20,16.90509456413132,7.8839499406494635,10.219860838365438,sub_critico,0.0931,std
21,17.218497805170657,7.219110440736833,10.930334954713063,sub_critico,0.0931,std
22,17.566508538187726,6.941341529000157,11.604596790352806,sub_critico,0.0931,std
23,17.857958076629778,6.685722764884055,11.85097276832394,sub_critico,0.0931,std
24,18.1193880200801,6.632914559645371,12.424393568925426,sub_critico,0.0931,std
25,18.497447271327886,6.3686733312362644,13.225564470205255,sub_critico,0.0931,std
26,18.97955039860885,6.400434013061579,13.684378766397186,sub_critico,0.0931,std
27,19.174172443390848,6.352689719061262,13.949153697944865,sub_critico,0.0931,std
28,19.440050297145724,6.011932578907829,14.484666221751729,sub_critico,0.0931,std
29,19.58993505746141,6.182412330330468,14.929798688826613,sub_critico,0.0931,std
30,19.58585090200463,5.659701601871093,15.376894643876863,sub_critico,0.0931,std
31,19.72939149819094,5.080354318352215,15.748192136101068,sub_critico,0.0931,std
