source,target,label,trafico_mbps,capacidad_mbps,rol,diagrams
ROUTER-CAMPUS-YANUNCAY,AGRPRI-1A-D10,"Uplink MPLS del campus (inferido del informe, no visible en los diagramas)",,,inferido,0
INTERNET-MPLS,HOS-0A-D05,"Uplink MPLS del campus (inferido del informe, no visible en los diagramas)",,,inferido,0
INTERNET-MPLS,CCJ-CJURIDICO-D4,"Uplink MPLS (inferido del informe, no visible en los diagramas)",,,inferido,0
DATCC-2A-C2,DATCC-2A-C3,Enlace entre Cores: lag256 1.89 Gbps,1890,,principal,1;34
CC-AETUC-D30,DATCC-2A-C2,C2: lag207 74.03 Mbps,74.03,,principal,1
CC-AETUC-D30,DATCC-2A-C3,C3: lag207 0 bps,0,,respaldo,1
CC-ARQUITECTURA-D107,DATCC-2A-C2,C2: lag206 398.39 Mbps,398.39,,principal,1
CC-ARQUITECTURA-D107,DATCC-2A-C3,C3: lag206 0 bps,0,,respaldo,1
CC-BIBLIOTECA-D112,DATCC-2A-C2,C2: lag205 458.15 Mbps,458.15,,principal,1
CC-BIBLIOTECA-D112,DATCC-2A-C3,C3: lag205 0 bps,0,,respaldo,1
CC-BLOQUE-IQ,DATCC-2A-C2,C2: lag210 0 bps,0,,respaldo,1
CC-BLOQUE-IQ,DATCC-2A-C3,C3: lag210 494.31 Mbps,494.31,,principal,1
CC-PROMAS-D31,DATCC-2A-C2,C2: lag209 117.47 Mbps,117.47,,principal,1
CC-PROMAS-D31,DATCC-2A-C3,C3: lag209 0 bps,0,,respaldo,1
CC-QUIMICA-D109,DATCC-2A-C2,C2: lag211 103.31 Mbps,103.31,,principal,1
CC-QUIMICA-D109,DATCC-2A-C3,C3: lag211 0 bps,0,,respaldo,1
CC-ADM-D40,DATCC-2A-C2,C2: lag208 100.93 Mbps,100.93,,principal,1
CC-ADM-D40,DATCC-2A-C3,C3: lag208 82.82 Mbps,82.82,,principal,1
CC-FILOSOFIA-B-D111,DATCC-2A-C3,C3: lag216 181.8 Mbps,181.8,,principal,1
CC-FILOSOFIA-B-D111,DATCC-2A-C2,C2: lag216 0 bps,0,,respaldo,1
CC-JURISPRUDENCIA-D110,DATCC-2A-C3,C3: lag217 130.98 Mbps,130.98,,principal,1
CC-JURISPRUDENCIA-D110,DATCC-2A-C2,C2: lag217 74.45 Mbps,74.45,,secundario,1
CC-PSICOLOGIA-D125,DATCC-2A-C3,C3: lag215 265.28 Mbps,265.28,,principal,1
CC-PSICOLOGIA-D125,DATCC-2A-C2,C2: lag215 0 bps,0,,respaldo,1
CC-FILOSOFIA-A-D108,DATCC-2A-C3,C3: lag214 220.7 Mbps,220.7,,principal,1
CC-FILOSOFIA-A-D108,DATCC-2A-C2,C2: lag214 0 bps,0,,respaldo,1
CC-MONJAS-D126,DATCC-2A-C3,C3: lag213 256.51 Mbps,256.51,,principal,1
CC-MONJAS-D126,DATCC-2A-C2,C2: lag213 0 bps,0,,respaldo,1
CC-ECONOMIA-D51,DATCC-2A-C3,C3: lag212 346.27 Mbps,346.27,,principal,1
CC-ECONOMIA-D51,DATCC-2A-C2,C2: lag212 0 bps,0,,respaldo,1
POST-1A-A64,CC-FILOSOFIA-A-D108,D108: 1/1/5 200.42 Mbps,200.42,,principal,1;9
CC-ADM-D40,TEAT-0A-A75,D40: 1/1/5 8.2 Mbps,8.2,,principal,2
CC-ADM-D40,CMED-0A-A42,D40: 1/1/3 7.97 Mbps,7.97,,principal,2
CC-ADM-D40,CCADM-2A-A43,D40: lag14 24.53 Mbps,24.53,,principal,2
CC-ADM-D40,CCADM-2A-A44,D40: lag13 105.36 Mbps,105.36,,principal,2
CC-ADM-D40,CCADM-2A-A45,D40: lag12 8.28 Mbps,8.28,,principal,2
CC-AETUC-D30,AETUC-0A-A76,D30: 1/1/1 59.19 Mbps,59.19,,principal,3
CC-AETUC-D30,AETUC-0A-A97,D30: 1/1/2 37.7 Mbps,37.7,,principal,3
AETUC-0A-A76,AETUCCF-2A-A79,A76: 1/1/48 51.9 Mbps,51.9,,principal,3
CC-ECONOMIA-D51,ECOK2-1A-A52,D51: lag11 36.58 Mbps,36.58,,principal,4
CC-ECONOMIA-D51,ECOK1-1A-A101,D51: lag12 5.73 Mbps,5.73,,principal,4
CC-ECONOMIA-D51,ECOK1-1A-A102,D51: lag13 268.16 Mbps,268.16,,principal,4
CC-FILOSOFIA-A-D108,FILOA-0B-A56,D108: lag12 39.4 Mbps,39.4,,principal,5
CC-FILOSOFIA-A-D108,FILOA-2A-A55,D108: lag11 33.78 Mbps,33.78,,principal,5
CC-FILOSOFIA-B-D111,FILOB-2A-A57,D111: lag11 99.58 Mbps,99.58,,principal,6
CC-FILOSOFIA-B-D111,FILOB-1B-A58,D111: lag12 63.51 Mbps,63.51,,principal,6
CC-JURISPRUDENCIA-D110,JUR-0A-A59,D110: 1/1/1 11.47 Mbps,11.47,,principal,7
CC-JURISPRUDENCIA-D110,JUR-0A-A60,D110: 1/1/7 4.37 Mbps,4.37,,principal,7
CC-JURISPRUDENCIA-D110,JUR-1A-A61,D110: lag42 60.21 Mbps,60.21,,principal,7
CC-JURISPRUDENCIA-D110,JUR-1A-A62,D110: lag43 55.03 Mbps,55.03,,principal,7
CC-PSICOLOGIA-D125,PSIC-1A-A53,D125: lag21 126.27 Mbps,126.27,,principal,8
CC-PSICOLOGIA-D125,PSIC-2B-A54,D50: lag22 71.19 Mbps,71.19,,principal,8
POST-1A-A64,POST-1A-A65,A64: 1/1/50 34.23 Mbps,34.23,,principal,9
POST-1A-A65,POST-2A-A66,A65: 1/1/48 2.67 Mbps,2.67,,principal,9
CC-ARQUITECTURA-D107,ARQ-0A-A85,D107: lag11 80.54 Mbps,80.54,,principal,10
ARQ-0A-A85,ARQ-0A-A84,A85: 1/1/51 2.94 Mbps,2.94,,principal,10
CC-ARQUITECTURA-D107,ARQ-0B-A87,D107: lag12 9.87 Mbps,9.87,,principal,10
CC-ARQUITECTURA-D107,ARQ-1C-A86,D107: 1/1/3 9.98 Mbps,9.98,,principal,10
CC-ARQUITECTURA-D107,ARQ-1C-A96,D107: lag13 51.55 Mbps,51.55,,principal,10
CC-ARQUITECTURA-D107,ARQ-0D-A88,D107: lag14 47.14 Mbps,47.14,,principal,10
ARQ-0D-A88,ARQ-0D-A89,A88: 1/1/52 45.32 Mbps,45.32,,principal,10
CC-ARQUITECTURA-D107,ARQ-0D-A90,D107: lag15 2.96 Mbps,2.96,,principal,10
CC-ARQUITECTURA-D107,ARQ-1E-A91,D107: lag16 96.32 Mbps,96.32,,principal,10
ARQ-1E-A91,ARQ-1E-A92,A91: 4/1/49 96.64 Mbps,96.64,,principal,10
CC-ARQUITECTURA-D107,ARQ-0G-A93-CEPAUC,D107: 1/1/13 3.53 Mbps,3.53,,principal,10
CC-QUIMICA-D109,QUI-1A-A83,D109: lag11 55.56 Mbps,55.56,,principal,11
CC-QUIMICA-D109,QUI-0A-A78,D109: lag12 0 bps,0,,respaldo,11
CC-QUIMICA-D109,QUI-2A-A82,D109: lag13 2.67 Mbps,2.67,,principal,11
QUI-2A-A82,QUI-2A-A81,A81: 1/1/48 5.93 Kbps,0.00593,,principal,11
CC-PROMAS-D31,PRO-1A-A73,D31: lag41 68.74 Mbps,68.74,,principal,12
CC-PROMAS-D31,CREDU-0B-A94,D31: 1/1/3 17.32 Mbps,17.32,,principal,12
PRO-1A-A73,PRO-3A-A74,,,,principal,12
CC-BIBLIOTECA-D112,CCBIB-1A-A71,D112: lag11 189.65 Mbps,189.65,,principal,13
CC-BIBLIOTECA-D112,VIN-0A-A72,D112: 1/1/3 36.32 Mbps,36.32,,principal,13
CC-MONJAS-D126,MON-0A-A103,D126: lag63 3.82 Mbps,3.82,,principal,14
CC-MONJAS-D126,MON-0A-A104,D126: lag64 39.99 Mbps,39.99,,principal,14
CC-MONJAS-D126,MON-1C-A105,D126: lag67 2.76 Mbps,2.76,,principal,14
CC-MONJAS-D126,MON-1C-A106,D126: lag66 16.36 Mbps,16.36,,principal,14
CC-MONJAS-D126,MON-1B-A67,D126: lag62 36.31 Mbps,36.31,,principal,14
MON-1B-A67,MON-1B-A68,A67: 2/1/52 37.86 Mbps,37.86,,principal,14
CC-MONJAS-D126,ECOK3-0A-A63,D126: 1/1/9 32.03 Mbps,32.03,,principal,14
CC-ECONOMIA-D51,TECQUI-0A-A10,,,,principal,15
TECQUI-0A-A10,TECQUI-0A-A11,,,,principal,15
TECQUI-0A-A10,TECQUI-0A-A12,A12: 1/1/50 7.6 Mbps,7.6,,principal,15
CCJ-CJURIDICO-D4,CCJ-1A-A10,D4: 1/1/51 39.04 Mbps,39.04,,principal,16
CCJ-CJURIDICO-D4,CCJ-1A-A11,D4: 1/1/52 1.56 Mbps,1.56,,principal,16
DT-0A-C12,DT-0A-C13,C12: lag256 243.03 Mbps,243.03,,principal,17;34
DT-0A-C12,BAL-AUL1-D4,C12: lag18 1.64 Mbps,1.64,,principal,17
DT-0A-C13,BAL-AUL1-D4,C13: lag18 171.71 Mbps,171.71,,secundario,17
DT-0A-C12,BAL-AUL2-D1,C12: lag15 21.06 Mbps,21.06,,principal,17
DT-0A-C13,BAL-AUL2-D1,C13: lag15 145.25 Mbps,145.25,,secundario,17
DT-0A-C12,BAL-CENTEC-D2,C12: lag16 17.36 Mbps,17.36,,principal,17
DT-0A-C13,BAL-CENTEC-D2,C13: lag16 58.16 Mbps,58.16,,secundario,17
DT-0A-C12,CB-EADMI-D6,C12: lag17 7.18 Mbps,7.18,,principal,17
DT-0A-C13,CB-EADMI-D6,C13: lag17 76.66 Mbps,76.66,,secundario,17
BAL-AUL2-D1,MICRORED-1A-A109,D1: int1/1/3 11.02 Mbps,11.02,,principal,17;22
BAL-CENTEC-D2,CEA-0A-A108,D2: lag70 4.99 Mbps,4.99,,principal,17;24
BAL-CENTEC-D2,VLIR-0A-A107,D2: int1/1/3 13.75 Mbps,13.75,,principal,17;24
CB-EADMI-D6,BAL-EADM-D3,D3: int 1/1/6 19.63 Mbps,19.63,,principal,17
BAL-AUL1-D4,AUL1-2A-A110,D4: 1/1/1 65.9 Mbps,65.9,,principal,18
BAL-AUL1-D4,AUL1-2A-A111,D4: 1/1/2 77.62 Mbps,77.62,,principal,18
BAL-AUL1-D4,AUL1-3A-A112,D4: 1/1/3 29.78 Mbps,29.78,,principal,18
